pval,real_rho,realpval,mod
0.0083,-0.313532024807064,0,Delta_power_dpv_tstat_c1
0.0083,0.313532024807064,0,Delta_power_dpv_tstat_c2
0.9606,-0.0138117332949375,0.554767551783599,Delta_power_dpv_tstat_c3
0.9606,0.0138117332949375,0.554767551783599,Delta_power_dpv_tstat_c4
0.9351,-0.0277574007932522,0.235163744121346,Theta_power_dpv_tstat_c1
0.9351,0.0277574007932522,0.235163744121346,Theta_power_dpv_tstat_c2
0.568,-0.15195664214077,6.32700558611532e-11,Theta_power_dpv_tstat_c3
0.568,0.15195664214077,6.32700558611532e-11,Theta_power_dpv_tstat_c4
0.4992,0.182792271625158,3.21964677141295e-15,Alpha_power_dpv_tstat_c1
0.4992,-0.182792271625158,3.21964677141295e-15,Alpha_power_dpv_tstat_c2
0.2491,-0.243122827581453,0,Alpha_power_dpv_tstat_c3
0.2491,0.243122827581453,0,Alpha_power_dpv_tstat_c4
0.1043,0.302963447630766,0,Beta1_power_dpv_tstat_c1
0.1043,-0.302963447630766,0,Beta1_power_dpv_tstat_c2
0.0073,-0.430588121674756,0,Beta1_power_dpv_tstat_c3
0.0073,0.430588121674756,0,Beta1_power_dpv_tstat_c4
0.139,0.274514516472999,0,Beta2_power_dpv_tstat_c1
0.139,-0.274514516472999,0,Beta2_power_dpv_tstat_c2
0.0023,-0.47887127589191,0,Beta2_power_dpv_tstat_c3
0.0023,0.47887127589191,0,Beta2_power_dpv_tstat_c4
0.4951,0.0929822766986038,6.75806409322632e-05,Gamma_power_dpv_tstat_c1
0.4951,-0.0929822766986038,6.75806409322632e-05,Gamma_power_dpv_tstat_c2
0.0771,-0.366447149566552,0,Gamma_power_dpv_tstat_c3
0.0771,0.366447149566552,0,Gamma_power_dpv_tstat_c4
