frequency	metric	contrasts	t	p
Delta	coh_img_	c1	1.495000	0.106000
Delta	coh_img_	c2	-1.495000	0.934000
Delta	coh_img_	c3	0.456200	0.356000
Delta	coh_img_	c4	-0.456200	0.684000
Delta	coh_img_	c5	-0.786700	0.790000
Delta	coh_img_	c6	0.691600	0.240000
Delta	power_	c1	-1.965700	0.968000
Delta	power_	c2	1.965700	0.020800
Delta	power_	c3	3.503600	0.003000
Delta	power_	c4	-3.503600	1
Delta	power_	c5	0.820800	0.216000
Delta	power_	c6	4.788200	0.000100
Theta	coh_img_	c1	3.179300	0.001100
Theta	coh_img_	c2	-3.179300	1
Theta	coh_img_	c3	0.900400	0.196000
Theta	coh_img_	c4	-0.900400	0.822000
Theta	coh_img_	c5	1.236700	0.112000
Theta	coh_img_	c6	4.717200	0
Theta	power_	c1	2.342900	0.007300
Theta	power_	c2	-2.342900	0.984000
Theta	power_	c3	1.939000	0.038000
Theta	power_	c4	-1.939000	0.980000
Theta	power_	c5	1.300600	0.088500
Theta	power_	c6	5.188700	0.000100
Alpha	coh_img_	c1	-1.743800	0.976000
Alpha	coh_img_	c2	1.743800	0.043100
Alpha	coh_img_	c3	-0.121300	0.536000
Alpha	coh_img_	c4	0.121300	0.452000
Alpha	coh_img_	c5	0.805100	0.206000
Alpha	coh_img_	c6	3.707700	0.000500
Alpha	power_	c1	2.766300	0.005500
Alpha	power_	c2	-2.766300	0.996000
Alpha	power_	c3	-0.085500	0.520000
Alpha	power_	c4	0.085500	0.472000
Alpha	power_	c5	0.120500	0.460000
Alpha	power_	c6	4.563800	0
Beta1	coh_img_	c1	-1.555200	0.950000
Beta1	coh_img_	c2	1.555200	0.064000
Beta1	coh_img_	c3	-3.393500	1
Beta1	coh_img_	c4	3.393500	0.002100
Beta1	coh_img_	c5	1.276000	0.088800
Beta1	coh_img_	c6	1.515200	0.067400
Beta1	power_	c1	4.875500	0.000200
Beta1	power_	c2	-4.875500	1
Beta1	power_	c3	-1.827200	0.970000
Beta1	power_	c4	1.827200	0.031200
Beta1	power_	c5	0.561700	0.288000
Beta1	power_	c6	2.787900	0.002800
Beta2	coh_img_	c1	-0.672200	0.754000
Beta2	coh_img_	c2	0.672200	0.238000
Beta2	coh_img_	c3	-3.942400	1
Beta2	coh_img_	c4	3.942400	0
Beta2	coh_img_	c5	1.237300	0.104000
Beta2	coh_img_	c6	0.835800	0.200000
Beta2	power_	c1	3.663600	0.000200
Beta2	power_	c2	-3.663600	1
Beta2	power_	c3	-4.210100	1
Beta2	power_	c4	4.210100	0.000600
Beta2	power_	c5	0.678300	0.272000
Beta2	power_	c6	2.623900	0.006300
Gamma	coh_img_	c1	2.202400	0.012500
Gamma	coh_img_	c2	-2.202400	0.992000
Gamma	coh_img_	c3	0.437900	0.346000
Gamma	coh_img_	c4	-0.437900	0.668000
Gamma	coh_img_	c5	-1.168100	0.870000
Gamma	coh_img_	c6	0.903200	0.208000
Gamma	power_	c1	4.624900	0.000400
Gamma	power_	c2	-4.624900	1
Gamma	power_	c3	-3.144500	0.996000
Gamma	power_	c4	3.144500	0.000200
Gamma	power_	c5	-0.057300	0.592000
Gamma	power_	c6	1.721600	0.050300
