frequency,metric,contrasts,t,p,r_partial
Delta,coh_img_,c1,1.495,0.106,0.0801133638966561
Delta,coh_img_,c2,-1.495,0.934,-0.0801133638966561
Delta,coh_img_,c3,0.4562,0.356,0.02451809125302
Delta,coh_img_,c4,-0.4562,0.684,-0.02451809125302
Delta,coh_img_,c5,-0.7867,0.79,-0.0422554793040953
Delta,coh_img_,c6,0.6916,0.24,0.0371549736852607
Delta,power_,c1,-1.9657,0.968,-0.105091507938222
Delta,power_,c2,1.9657,0.0208,0.105091507938222
Delta,power_,c3,3.5036,0.003,0.185099879599085
Delta,power_,c4,-3.5036,1,-0.185099879599085
Delta,power_,c5,0.8208,0.216,0.0440835836504205
Delta,power_,c6,4.7882,0.0001,0.249288442942866
Theta,coh_img_,c1,3.1793,0.0011,0.168477021616544
Theta,coh_img_,c2,-3.1793,1,-0.168477021616544
Theta,coh_img_,c3,0.9004,0.196,0.048349193001443
Theta,coh_img_,c4,-0.9004,0.822,-0.048349193001443
Theta,coh_img_,c5,1.2367,0.112,0.0663389462419439
Theta,coh_img_,c6,4.7172,0,0.245816905396933
Theta,power_,c1,2.3429,0.0073,0.124967698571654
Theta,power_,c2,-2.3429,0.984,-0.124967698571654
Theta,power_,c3,1.939,0.038,0.103679504306035
Theta,power_,c4,-1.939,0.98,-0.103679504306035
Theta,power_,c5,1.3006,0.0885,0.069750395606096
Theta,power_,c6,5.1887,0.0001,0.26868857819598
Alpha,coh_img_,c1,-1.7438,0.976,-0.0933380130925705
Alpha,coh_img_,c2,1.7438,0.0431,0.0933380130925705
Alpha,coh_img_,c3,-0.1213,0.536,-0.00652098974837237
Alpha,coh_img_,c4,0.1213,0.452,0.00652098974837237
Alpha,coh_img_,c5,0.8051,0.206,0.0432419590025255
Alpha,coh_img_,c6,3.7077,0.0005,0.195481639487836
Alpha,power_,c1,2.7663,0.0055,0.147099420648994
Alpha,power_,c2,-2.7663,0.996,-0.147099420648994
Alpha,power_,c3,-0.0855,0.52,-0.00459645991988381
Alpha,power_,c4,0.0855,0.472,0.00459645991988381
Alpha,power_,c5,0.1205,0.46,0.00647798420712655
Alpha,power_,c6,4.5638,0,0.238284177265865
Beta1,coh_img_,c1,-1.5552,0.95,-0.0833173700103763
Beta1,coh_img_,c2,1.5552,0.064,0.0833173700103763
Beta1,coh_img_,c3,-3.3935,1,-0.179473448644932
Beta1,coh_img_,c4,3.3935,0.0021,0.179473448644932
Beta1,coh_img_,c5,1.276,0.0888,0.0684373507719724
Beta1,coh_img_,c6,1.5152,0.0674,0.0811887441330053
Beta1,power_,c1,4.8755,0.0002,0.253543820614461
Beta1,power_,c2,-4.8755,1,-0.253543820614461
Beta1,power_,c3,-1.8272,0.97,-0.0977603531266991
Beta1,power_,c4,1.8272,0.0312,0.0977603531266991
Beta1,power_,c5,0.5617,0.288,0.0301834205417521
Beta1,power_,c6,2.7879,0.0028,0.148222872777738
Beta2,coh_img_,c1,-0.6722,0.754,-0.0361141222616662
Beta2,coh_img_,c2,0.6722,0.238,0.0361141222616662
Beta2,coh_img_,c3,-3.9424,1,-0.207338998809238
Beta2,coh_img_,c4,3.9424,0,0.207338998809238
Beta2,coh_img_,c5,1.2373,0.104,0.066370989641254
Beta2,coh_img_,c6,0.8358,0.2,0.0448875959910636
Beta2,power_,c1,3.6636,0.0002,0.19324387755082
Beta2,power_,c2,-3.6636,1,-0.19324387755082
Beta2,power_,c3,-4.2101,1,-0.220752621597419
Beta2,power_,c4,4.2101,0.0006,0.220752621597419
Beta2,power_,c5,0.6783,0.272,0.0364414131146765
Beta2,power_,c6,2.6239,0.0063,0.13967888897578
Gamma,coh_img_,c1,2.2024,0.0125,0.117580447244048
Gamma,coh_img_,c2,-2.2024,0.992,-0.117580447244048
Gamma,coh_img_,c3,0.4379,0.346,0.023535129055592
Gamma,coh_img_,c4,-0.4379,0.668,-0.023535129055592
Gamma,coh_img_,c5,-1.1681,0.87,-0.0626739886016989
Gamma,coh_img_,c6,0.9032,0.208,0.0484991927805856
Gamma,power_,c1,4.6249,0.0004,0.24128974175207
Gamma,power_,c2,-4.6249,1,-0.24128974175207
Gamma,power_,c3,-3.1445,0.996,-0.16668441680596
Gamma,power_,c4,3.1445,0.0002,0.16668441680596
Gamma,power_,c5,-0.0573,0.592,-0.00308045246856938
Gamma,power_,c6,1.7216,0.0503,0.0921599008720371
