frequency	network	contrasts	t	p
Delta	left_dorsal attention	c2	1.591300	0.054500
Delta	left_control	c2	-0.403500	0.628000
Delta	left_default	c2	-0.632500	0.738000
Delta	left_visual	c2	1.407900	0.067100
Delta	left_limbic	c2	-0.121400	0.492000
Delta	left_somatomotor	c2	-1.040400	0.842000
Delta	left_ventral attention	c2	-0.723100	0.736000
Delta	right_dorsal attention	c2	-2.368000	0.990000
Delta	right_control	c2	-1.666300	0.956000
Delta	right_default	c2	-1.467700	0.908000
Delta	right_visual	c2	-0.100200	0.518000
Delta	right_limbic	c2	0.532000	0.280000
Delta	right_somatomotor	c2	-1.724600	0.958000
Delta	right_ventral attention	c2	-3.045000	0.996000
Theta	left_dorsal attention	c2	0.625400	0.288000
Theta	left_control	c2	-0.522200	0.700000
Theta	left_default	c2	-1.035800	0.858000
Theta	left_visual	c2	-0.612900	0.716000
Theta	left_limbic	c2	0.751600	0.248000
Theta	left_somatomotor	c2	0.438100	0.352000
Theta	left_ventral attention	c2	-0.488200	0.700000
Theta	right_dorsal attention	c2	-0.266400	0.592000
Theta	right_control	c2	-1.140100	0.868000
Theta	right_default	c2	-2.069600	0.982000
Theta	right_visual	c2	-1.089100	0.852000
Theta	right_limbic	c2	-0.737700	0.776000
Theta	right_somatomotor	c2	-0.224600	0.608000
Theta	right_ventral attention	c2	-1.031100	0.840000
Alpha	left_dorsal attention	c2	-0.223500	0.574000
Alpha	left_control	c2	-0.868700	0.828000
Alpha	left_default	c2	-1.970600	0.974000
Alpha	left_visual	c2	0.670600	0.276000
Alpha	left_limbic	c2	-0.263800	0.572000
Alpha	left_somatomotor	c2	-0.037800	0.540000
Alpha	left_ventral attention	c2	-0.279300	0.638000
Alpha	right_dorsal attention	c2	0.839600	0.218000
Alpha	right_control	c2	-1.186000	0.888000
Alpha	right_default	c2	-1.456900	0.930000
Alpha	right_visual	c2	-0.126700	0.530000
Alpha	right_limbic	c2	0.254400	0.404000
Alpha	right_somatomotor	c2	0.777800	0.224000
Alpha	right_ventral attention	c2	-0.639200	0.772000
Beta1	left_dorsal attention	c2	0.494700	0.296000
Beta1	left_control	c2	0.648800	0.282000
Beta1	left_default	c2	1.065300	0.160000
Beta1	left_visual	c2	-1.023800	0.856000
Beta1	left_limbic	c2	1.282500	0.142000
Beta1	left_somatomotor	c2	1.034600	0.164000
Beta1	left_ventral attention	c2	1.255400	0.089400
Beta1	right_dorsal attention	c2	-0.077200	0.546000
Beta1	right_control	c2	0.343300	0.362000
Beta1	right_default	c2	0.305100	0.404000
Beta1	right_visual	c2	0.349300	0.352000
Beta1	right_limbic	c2	0.887800	0.222000
Beta1	right_somatomotor	c2	1.258300	0.106000
Beta1	right_ventral attention	c2	0.488300	0.288000
Beta2	left_dorsal attention	c2	0.627900	0.264000
Beta2	left_control	c2	-0.917400	0.826000
Beta2	left_default	c2	0.340300	0.372000
Beta2	left_visual	c2	-0.021000	0.466000
Beta2	left_limbic	c2	-0.408400	0.684000
Beta2	left_somatomotor	c2	0.284200	0.402000
Beta2	left_ventral attention	c2	0.210500	0.434000
Beta2	right_dorsal attention	c2	0.993500	0.174000
Beta2	right_control	c2	0.930700	0.206000
Beta2	right_default	c2	0.344400	0.338000
Beta2	right_visual	c2	0.208200	0.388000
Beta2	right_limbic	c2	-0.527400	0.694000
Beta2	right_somatomotor	c2	1.181700	0.132000
Beta2	right_ventral attention	c2	1.288800	0.094700
Gamma	left_dorsal attention	c2	-1.098000	0.846000
Gamma	left_control	c2	-1.160100	0.854000
Gamma	left_default	c2	-0.351800	0.646000
Gamma	left_visual	c2	-0.011300	0.514000
Gamma	left_limbic	c2	-1.243700	0.874000
Gamma	left_somatomotor	c2	-0.216900	0.620000
Gamma	left_ventral attention	c2	-0.377600	0.662000
Gamma	right_dorsal attention	c2	-0.048000	0.526000
Gamma	right_control	c2	-0.399000	0.648000
Gamma	right_default	c2	-0.631100	0.708000
Gamma	right_visual	c2	0.529100	0.308000
Gamma	right_limbic	c2	-0.737800	0.776000
Gamma	right_somatomotor	c2	0.314800	0.388000
Gamma	right_ventral attention	c2	0.233600	0.414000
